20141123 20:40:04 TRACE Partie: Ajout plaque B11
20141123 20:40:04 TRACE Partie: Ajout plaque J11
20141123 20:40:04 TRACE Partie: Ajout plaque N11
20141123 20:40:04 TRACE Partie: Ajout plaque R12
20141123 20:40:04 TRACE Partie: Ajout plaque B12
20141123 20:40:04 TRACE Partie: Ajout plaque J12
20141123 20:40:04 TRACE Partie: Ajout plaque N12
20141123 20:40:04 TRACE Partie: Ajout plaque R13
20141123 20:40:04 TRACE Partie: Ajout plaque B13
20141123 20:40:04 TRACE Partie: Ajout plaque J13
20141123 20:40:04 TRACE Partie: Ajout plaque N13
20141123 20:40:04 DEBUG Partie: Fin initialisation
20141123 20:40:04 DEBUG Partie: 56 plaques dans la pioche
20141123 20:40:04 DEBUG Partie: Ajout joueur Alexandra
20141123 20:40:04 DEBUG Partie: Ajout joueur Frederic
20141123 20:40:04 DEBUG Partie: Ajout joueur Clemence
20141123 20:40:04 DEBUG Partie: Ajout joueur Axel
20141123 20:40:04 FATAL Main: Exception: Le nombre maximum de joueur (4) est atteint.
20141123 20:43:08 DEBUG Partie: Debut initialisation
20141123 20:43:08 TRACE Partie: Ajout plaque R00
20141123 20:43:08 TRACE Partie: Ajout plaque B00
20141123 20:43:08 TRACE Partie: Ajout plaque J00
20141123 20:43:08 TRACE Partie: Ajout plaque N00
20141123 20:43:08 TRACE Partie: Ajout plaque R01
20141123 20:43:08 TRACE Partie: Ajout plaque B01
20141123 20:43:08 TRACE Partie: Ajout plaque J01
20141123 20:43:08 TRACE Partie: Ajout plaque N01
20141123 20:43:08 TRACE Partie: Ajout plaque R02
